"OrderDate";"Country";"OrderId";"Value";"Currency";"ProductCategory"
"2012-06-02";"FR";"10000122";"31,00";"EUR";"Flight"
"2012-07-04";"IT";"10000274";"2.928.40";"EUR";"Flight"
"12/10/2012";"IT";"10000366";"3.089.32";"EUR";"Hotel"
"2012-06-09";"UK";"10000640";"1 191.68";"EUR";"Hotel"
"2012-01-18";"UK";"10000671";"591.62";"USD";"Flight"
"2012-02-18";"FR";"10000793";"328,43";"USD";"Flight"
"2012-06-08";"FR";"10000915";"1.841,14";"USD";"Hotel"
"2012-08-23";"FR";"10000976";"2.683,11";"USD";"Hotel"
"2012-09-11";"IT";"10001983";"692.50";"USD";"Hotel"
"2012-11-10";"UK";"10002441";"3 333.25";"USD";"Hotel"
"01/10/2012";"UK";"10002563";"2 920.42";"GBP";"Cars"
"2012-04-22";"UK";"10002838";"2 605.86";"USD";"Restaurant"
"2012-04-16";"UK";"10003082";"871.24";"USD";"Hotel"
"2012-07-14";"UK";"10003173";"3 182.28";"USD";"Flight"
"2012-03-19";"FR";"10003509";"1.619,74";"USD";"Hotel"
"10/08/2012";"UK";"10005035";"613.31";"GBP";"Holidays"
"2012-08-06";"UK";"10006011";"270.64";"USD";"Holidays"
"2012-01-21";"IT";"10006134";"438.00";"EUR";"Flight"
"04/22/2012";"UK";"10006408";"98.59";"GBP";"Flight"
"2012-05-10";"UK";"10006500";"32.60";"GBP";"Holidays"
"2012-05-18";"IT";"10006561";"205.94";"EUR";"Flight"
"2012-12-11";"IT";"10006958";"399.38";"GBP";"Holidays"
"09/06/2012";"UK";"10007202";"51.75";"EUR";"Hotel"
"2012-06-29";"IT";"10007232";"405.00";"GBP";"Flight"
"2012-06-22";"FR";"10007324";"83,91";"EUR";"Hotel"
"2012-12-26";"ES";"10007629";"1.378.49";"USD";"Hotel"
"03/29/2012";"UK";"10008239";"1 918.08";"GBP";"Flight"
"08/25/2012";"FR";"10008850";"402,42";"USD";"Hotel"
"2012-04-16";"UK";"10010040";"2 445.10";"USD";"Holidays"
"10/03/2012";"UK";"10010833";"52.90";"GBP";"Restaurant"
"2012-07-23";"UK";"10010894";"3 628.94";"EUR";"Flight"
"09/01/2012";"IT";"10011291";"1.328.14";"EUR";"Flight"
"2012-08-16";"UK";"10011535";"1 213.06";"USD";"Flight"
"2012-11-20";"IT";"10011779";"2.406.46";"GBP";"Flight"
"2012-07-23";"UK";"10011932";"2 205.90";"GBP";"Cars"
"2012-08-13";"IT";"10012420";"415.27";"EUR";"Holidays"
"2012-10-02";"FR";"10012725";"1.045,17";"USD";"Restaurant"
"2012-06-28";"FR";"10012817";"675,79";"EUR";"Flight"
"08/08/2012";"UK";"10013244";"2 371.43";"EUR";"Flight"
"2012-10-23";"IT";"10013366";"885.47";"USD";"Hotel"
"2012-08-11";"ES";"10013580";"82.86";"EUR";"Holidays"
"2012-07-04";"UK";"10013763";"464.43";"USD";"Flight"
"2012-12-14";"IT";"10013824";"31.98";"EUR";"Hotel"
"2012-11-16";"UK";"10013885";"177.98";"GBP";"Hotel"
"2012-01-29";"UK";"10013977";"374.04";"GBP";"Holidays"
"09/16/2012";"FR";"10014251";"657,72";"EUR";"Hotel"
