"VisitDate";"UserID";"VisitID";"Source";"OrderID"
"2012-11-02";"LMN000003";"1";"";""
"2012-01-02";"LMN000005";"1";"ppc_ES_car hire";""
"2012-03-09";"LMN000005";"2";"ppc_IT_hotels";""
"2012-08-31";"LMN000009";"1";"";""
"2012-11-17";"LMN000010";"1";"ppc_ES_lastminutecom";""
"2012-08-06";"LMN000012";"1";"ppc_UK_last minute";""
"2012-10-15";"LMN000012";"2";"";""
"09/27/2012";"LMN000015";"1";"seo :: google :: flights";""
"2012-06-29";"LMN000016";"1";"";""
"02/14/2012";"LMN000018";"1";"";""
"2012-04-12";"LMN000018";"2";"";""
"2012-08-26";"LMN000018";"3";"";""
"02/05/2012";"LMN000019";"1";"";""
"2012-04-26";"LMN000025";"1";"";""
"09/17/2012";"LMN000027";"1";"";""
"09/16/2012";"LMN000028";"1";"";""
"2012-01-26";"LMN000030";"1";"seo :: google :: lastminut";""
"2012-04-26";"LMN000032";"1";"seo :: baidu :: holidays";""
"2012-04-23";"LMN000034";"1";"seo :: google :: last minute";""
"2012-06-09";"LMN000034";"2";"ppc_UK_cheap hotel rooms";""
"2012-06-04";"LMN000035";"1";"seo :: baidu :: lastminute";""
"2012-01-30";"LMN000036";"1";"";""
"06/08/2012";"LMN000037";"1";"";""
"2012-01-02";"LMN000038";"1";"ppc_ES_fligts to london";""
"2012-09-10";"LMN000038";"2";"seo :: google :: lastminute";""
"2012-12-29";"LMN000038";"3";"ppc_FR_lastminute com";""
"2012-01-03";"LMN000043";"1";"seo :: google :: flights";""
"03/04/2012";"LMN000043";"2";"seo :: google :: lastminute";""
"2012-11-11";"LMN000043";"3";"ppc_UK_lastminute com";""
"04/16/2012";"LMN000044";"1";"seo :: google :: lastminut";""
"2012-10-30";"LMN000044";"2";"ppc_UK_flights";""
"2012-02-13";"LMN000045";"1";"seo :: google :: flights";""
"2012-10-03";"LMN000055";"1";"ppc_IT_hotels";""
"06/26/2012";"LMN000056";"1";"seo :: baidu :: lastminut";""
"12/04/2012";"LMN000058";"1";"seo :: google :: lastminute";""
"2012-08-19";"LMN000068";"1";"";""
"02/13/2012";"LMN000070";"1";"ppc_UK_car hire";""
"2012-12-02";"LMN000070";"2";"ppc_UK_lastminute";""
"12/26/2012";"LMN000070";"3";"ppc_FR_hotels";""
"02/21/2012";"LMN000072";"1";"seo :: yahoo :: car hire";"10074188"
"2012-10-28";"LMN000073";"1";"";""
"2012-12-16";"LMN000074";"1";"";""
"2012-07-15";"LMN000075";"1";"";""
"2012-12-24";"LMN000082";"1";"";""
"04/06/2012";"LMN000083";"1";"";""
"2012-07-19";"LMN000084";"1";"";""
"2012-03-25";"LMN000089";"1";"seo :: yahoo :: lastminute";""
"2012-06-13";"LMN000090";"1";"seo :: baidu :: hotels; lastminute";""
"2012-10-20";"LMN000092";"1";"ppc_IT_flights";""
"11/17/2012";"LMN000094";"1";"";""
"09/10/2012";"LMN000096";"1";"";""
"05/04/2012";"LMN000097";"1";"";""
"09/14/2012";"LMN000098";"1";"";""
"2012-09-03";"LMN000099";"1";"";""
"2012-06-16";"LMN000102";"1";"";""
"2012-07-30";"LMN000102";"2";"seo :: google :: lastminute";""
"09/11/2012";"LMN000102";"3";"seo :: bing :: flights";""
"2012-12-25";"LMN000104";"1";"";""
"2012-03-13";"LMN000107";"1";"seo :: google :: lastminute";""
"2012-04-14";"LMN000109";"1";"seo :: google :: cheap holidays";""
"04/25/2012";"LMN000109";"2";"";""
"2012-10-06";"LMN000109";"3";"";""
"10/07/2012";"LMN000112";"1";"seo :: google :: hotels";""
"2012-03-29";"LMN000114";"1";"";""
"08/20/2012";"LMN000116";"1";"ppc_IT_lastminute";""
"2012-12-13";"LMN000116";"2";"seo :: google :: hotels";""
"2012-11-10";"LMN000121";"1";"";""
"2012-10-07";"LMN000122";"1";"seo :: google :: hotels";""
"2012-01-25";"LMN000123";"1";"";""
